#  x       Model 1   Model 2   Model 3   Model 4 
 0.100000  0.587785  0.987688 -1.553436 -0.125333
 0.200000  0.951057  0.951057 -1.176080 -0.173827
 0.300000  0.951057  0.891007 -0.944532 -0.192485
 0.400000  0.587785  0.809017 -0.772553 -0.191709
 0.500000  0.000000  0.707107 -0.634029 -0.176941
 0.600000 -0.587785  0.587785 -0.517861 -0.151866
 0.700000 -0.951057  0.453990 -0.418459 -0.119354
 0.800000 -0.951057  0.309017 -0.332697 -0.081824
 0.900000 -0.587785  0.156434 -0.258680 -0.041403
 1.000000 -0.000000  0.000000 -0.195177  0.000000
 1.100000  0.587785 -0.156434 -0.141325  0.040660
 1.200000  0.951057 -0.309017 -0.096466  0.079025
 1.300000  0.951057 -0.453990 -0.060055  0.113719
 1.400000  0.587785 -0.587785 -0.031594  0.143540
 1.500000 -0.000000 -0.707107 -0.010605  0.167473
 1.600000 -0.587785 -0.809017  0.003396  0.184693
 1.700000 -0.951057 -0.891007  0.010913  0.194574
 1.800000 -0.951057 -0.951057  0.012475  0.196691
 1.900000 -0.587785 -0.987688  0.008642  0.190820
 2.000000 -0.000000 -1.000000 -0.000000  0.176941
 2.100000  0.587785 -0.987688 -0.012837  0.155230
 2.200000  0.951057 -0.951057 -0.029232  0.126054
 2.300000  0.951057 -0.891007 -0.048530  0.089958
 2.400000  0.587785 -0.809017 -0.070065  0.047653
 2.500000 -0.000000 -0.707107 -0.093167 -0.000000
 2.600000 -0.587785 -0.587785 -0.117164 -0.052010
 2.700000 -0.951057 -0.453990 -0.141397 -0.107276
 2.800000 -0.951057 -0.309017 -0.165222 -0.164610
 2.900000 -0.587785 -0.156434 -0.188018 -0.222762
 3.000000  0.000000  0.000000 -0.209195 -0.280445
 3.100000  0.587785  0.156434 -0.228201 -0.336360
 3.200000  0.951057  0.309017 -0.244526 -0.389225
 3.300000  0.951057  0.453990 -0.257713 -0.437796
 3.400000  0.587785  0.587785 -0.267357 -0.480897
 3.500000 -0.000000  0.707107 -0.273114 -0.517439
 3.600000 -0.587785  0.809017 -0.274701 -0.546449
 3.700000 -0.951057  0.891007 -0.271906 -0.567081
 3.800000 -0.951057  0.951057 -0.264582 -0.578640
 3.900000 -0.587785  0.987688 -0.252655 -0.580595
 4.000000 -0.000000  1.000000 -0.236120 -0.572593
 4.100000  0.587785  0.987688 -0.215044 -0.554463
 4.200000  0.951057  0.951057 -0.189566 -0.526227
 4.300000  0.951057  0.891007 -0.159889 -0.488096
 4.400000  0.587785  0.809017 -0.126285 -0.440474
 4.500000  0.000000  0.707107 -0.089086 -0.383949
 4.600000 -0.587785  0.587785 -0.048682 -0.319286
 4.700000 -0.951057  0.453990 -0.005516 -0.247416
 4.800000 -0.951057  0.309017  0.039922 -0.169418
 4.900000 -0.587785  0.156434  0.087101 -0.086505
 5.000000 -0.000000  0.000000  0.135457 -0.000000
 5.100000  0.587785 -0.156434  0.184396  0.088682
 5.200000  0.951057 -0.309017  0.233306  0.178063
 5.300000  0.951057 -0.453990  0.281564  0.266624
 5.400000  0.587785 -0.587785  0.328540  0.352833
 5.500000  0.000000 -0.707107  0.373610  0.435174
 5.600000 -0.587785 -0.809017  0.416161  0.512170
 5.700000 -0.951057 -0.891007  0.455598  0.582412
 5.800000 -0.951057 -0.951057  0.491355  0.644584
 5.900000 -0.587785 -0.987688  0.522900  0.697488
 6.000000 -0.000000 -1.000000  0.549741  0.740066
 6.100000  0.587785 -0.987688  0.571436  0.771419
 6.200000  0.951057 -0.951057  0.587595  0.790828
